tweet, sentiment, polarity
b'Brian MacLellan of the New York Knicks https://t.co/jaGvW0b2hW',-0.41307917888562995,Negative
b'RT @NoVa_Caps: Statement from Brian MacLellan on Nate Schmidt https://t.co/r3eKWa0F7h https://t.co/ztET8wK1mE',-0.4223627870766844,Negative
b'RT @shaggy901516: I\'m just gonna leave this here for the #Capitals "fans" who want Brian MacLellan fired. #CapitalsTalk #VegasDraft https:/\xe2\x80\xa6',-0.37350261034646476,Negative
b'I\'m just gonna leave this here for the #Capitals "fans" who want Brian MacLellan fired. #CapitalsTalk #VegasDraft https://t.co/hFFXqoMZzz',-0.34666353383458615,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.3995495495495499,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.44234449760765593,Negative
b'Brian MacLellan sounds pretty confident. #Caps https://t.co/lnHIre7Hhj https://t.co/8R9uQY2iYL',-0.3751167133520071,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.4102115626309184,Negative
b'RT @NoVa_Caps: Statement from Brian MacLellan on Nate Schmidt https://t.co/r3eKWa0F7h https://t.co/ztET8wK1mE',-0.4230753396459458,Negative
b'RT @AWallace39: Brian MacLellan https://t.co/dUnAV9Hi3p',-0.41851449275362446,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.4483851674641154,Negative
b'Brian MacLellan https://t.co/dUnAV9Hi3p',-0.4058908045977014,Negative
b'Statement from Brian MacLellan on Nate Schmidt https://t.co/i1JUHYj1k3 https://t.co/6hK1AuWZpC',-0.3923872180451124,Negative
b'Statement from Brian MacLellan on Nate Schmidt https://t.co/CZkf5TrNxu via @wordpressdotcom',-0.3921212121212119,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.4290097629009771,Negative
b'RT @NoVa_Caps: Statement from Brian MacLellan on Nate Schmidt https://t.co/r3eKWa0F7h https://t.co/ztET8wK1mE',-0.40830464716006987,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.40045417010735035,Negative
b'#CapsFans #Capitals #NovaCaps Statement from Brian MacLellan on Nate Schmidt https://t.co/ZeYHuDiQHr',-0.5095238095238089,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.4336782376502007,Negative
b'#RockTheRed #WashingtonCapitals Statement from Brian MacLellan on Nate Schmidt #GoCapsGo #GoCaps #Caps https://t.co/MRAjkCseNI',-0.520454545454545,Negative
b'RT @NoVa_Caps: Statement from Brian MacLellan on Nate Schmidt https://t.co/r3eKWa0F7h https://t.co/ztET8wK1mE',-0.4230753396459458,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.44234449760765593,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.39927100053504644,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.3819680780899628,Negative
b"RT @ikhurshudyan: HYPOTHETICAL POLL: If you're GM Brian MacLellan, would you give up your 2018 first-round pick to save Nate Schmidt?",-0.43532338308457746,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.3859114811568807,Negative
b'#Capitals Wire: [Monumental Network: Caps Today] - Statement from Brian MacLellan on\xe2\x80\xa6 https://t.co/Jub1tUQRaC #NHL https://t.co/nkMgsBRmJj',-0.4792452830188675,Negative
b'RT @NoVa_Caps: Statement from Brian MacLellan on Nate Schmidt https://t.co/r3eKWa0F7h https://t.co/ztET8wK1mE',-0.3707811194653307,Negative
b'Statement from Brian MacLellan on Nate Schmidt https://t.co/r3eKWa0F7h https://t.co/ztET8wK1mE',-0.4217806841046273,Negative
b'RT @BenRaby31: Statement from #Caps GM Brian MacLellan on Vegas-bound Nate Schmidt https://t.co/2jmbAzLo8C',-0.3605243161094235,Negative
b'RT @BenRaby31: Statement from #Caps GM Brian MacLellan on Vegas-bound Nate Schmidt https://t.co/2jmbAzLo8C',-0.38627137889433055,Negative
b"Caps GM Brian MacLellan's statement on Nate Schmidt: https://t.co/j7NjsJd4Jo",-0.3266637089618453,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.467022792022793,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.37060212514758045,Negative
b"RT @TarikCSN: #Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.39157023144453407,Negative
b"#Caps GM Brian MacLellan's statement on losing Nate Schmidt to Vegas: https://t.co/aHS7tEkgw2",-0.39155370177267945,Negative
b'RT @BenRaby31: Statement from #Caps GM Brian MacLellan on Vegas-bound Nate Schmidt https://t.co/2jmbAzLo8C',-0.3971316085489322,Negative
b"RT @ikhurshudyan: Brian MacLellan statement on Schmidt's selection: https://t.co/SvpsbvErRU",-0.42372214941022385,Negative
b'#Caps GM Brian MacLellan on losing Nate Schmidt to former boss George McPhee and Vegas: https://t.co/NH8iJLOr68',-0.37350230414746516,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.4629464285714294,Negative
b'RT @TomGulittiNHL: Statement from Caps GM Brian MacLellan on D Nate Schmidt being picked by VGK: https://t.co/CDGbkS9ZLb',-0.3853170572444324,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.3926339285714289,Negative
b'RT @CapitalsPR: READ: Statement from Brian MacLellan on Nate Schmidt: https://t.co/DBPbAMQbe9',-0.4450956937799048,Negative
b"RT @ikhurshudyan: Brian MacLellan statement on Schmidt's selection: https://t.co/SvpsbvErRU",-0.3964691558441568,Negative
