tweet, sentiment, polarity
b'RT @twolinepass: if winnipeg is smart, they gave up a first so vegas would take cheveldayoff and maurice https://t.co/9IAhLvMYJy',-0.40675725302974786,Negative
b'Jets GM Cheveldayoff thankful Enstrom took one for the team - Winnipeg Sun https://t.co/uxaI4wslys #NHLJets\xe2\x80\xa6 https://t.co/xmiPKSftdS',-0.3806701030927832,Negative
b'RT @Ted_Wyman: #NHLJets GM Kevin Cheveldayoff said "goaltending is something we\'re going to continue to have to focus on"',-0.40595238095238145,Negative
b'RT @kelvin_goertzen: Every time I feel like I\'m taking it on the chin on Twitter, I search "Kevin Cheveldayoff" and suddenly feel better. #\xe2\x80\xa6',-0.37098837209302354,Negative
b'Jets GM Cheveldayoff thankful Enstrom took one for the team | Home | Winnipeg Su https://t.co/CpHVWQ1aPi',-0.4602150537634405,Negative
b'RT @AftnRide1290: Podcast: Cheveldayoff: Comfortable in our list going into first round https://t.co/DUCUTqPqj9 on #SoundCloud',-0.38346938775510253,Negative
b'Podcast: Cheveldayoff: Comfortable in our list going into first round https://t.co/DUCUTqPqj9 on #SoundCloud',-0.40707547169811287,Negative
b'#NHLJets GM Kevin Cheveldayoff said "goaltending is something we\'re going to continue to have to focus on"',-0.3910919540229882,Negative
b'RT @mremis: #NHLJets GM Cheveldayoff "this organization owes a debt of gratitude to Toby"',-0.41981132075471733,Negative
b'RT @AftnRide1290: We talk about a very busy week for the #NHL &amp; #NHLJets with GM Kevin Cheveldayoff now on the Afternoon Ride on @TSN1290Ra\xe2\x80\xa6',-0.4329500000000008,Negative
b'We talk about a very busy week for the #NHL &amp; #NHLJets with GM Kevin Cheveldayoff now on the Afternoon Ride on @TSN1290Radio',-0.4358252427184462,Negative
b'RT @mremis: "we\'ve been drafting and developing since we moved the franchise...we want to take it to the next step" -#NHLJets GM Kevin Chev\xe2\x80\xa6',-0.41103603603603633,Negative
b'Twenty minutes with Jets GM Kevin Cheveldayoff covers Expansion Draft, Enstrom, goalie search, Entry Draft and more. https://t.co/kqBNpyioMP',-0.41711711711711685,Negative
b'RT @AftnRide1290: Coming up: @garylawless #NHLJets GM Kevin Cheveldayoff, @TSNRyanRishaug @RAWagman #GoldenKnights Asst GM Kelly McCrimmon',-0.46940928270042276,Negative
b'RT @AftnRide1290: Coming up: @garylawless #NHLJets GM Kevin Cheveldayoff, @TSNRyanRishaug @RAWagman #GoldenKnights Asst GM Kelly McCrimmon',-0.4690362595419858,Negative
b'Jets GM Kevin Cheveldayoff on Tobias Enstrom waiving:  "..this organization owes a debt of gratitude to Toby....".  https://t.co/5cuzC4McPc',-0.3920353982300882,Negative
b'Coming up: @garylawless #NHLJets GM Kevin Cheveldayoff, @TSNRyanRishaug @RAWagman #GoldenKnights Asst GM Kelly McCrimmon',-0.46869158878504624,Negative
b'RT @Ted_Wyman: #NHLJets GM Kevin Cheveldayoff on dealing with Vegas Golden Knights to keep them from taking a key player. https://t.co/6FvW\xe2\x80\xa6',-0.3706454674893218,Negative
b"RT @Ted_Wyman: #NHLJets GM Kevin Cheveldayoff on role Toby Enstrom waiving his NMC played in team's expansion draft strategy https://t.co/I\xe2\x80\xa6",-0.3918331668331674,Negative
b'RT @Ted_Wyman: #NHLJets GM Kevin Cheveldayoff on dealing with Vegas Golden Knights to keep them from taking a key player. https://t.co/6FvW\xe2\x80\xa6',-0.3735279922779928,Negative
b'RT @Ted_Wyman: #NHLJets Cheveldayoff on how much power VGK had in the whole expansion situation. https://t.co/2llWFKsSE7',-0.36119525173966505,Negative
b'RT @Ted_Wyman: #NHLJets GM Kevin Cheveldayoff on expansion draft: "It was very painstaking, time consuming process but in end, happy with e\xe2\x80\xa6',-0.3647727272727276,Negative
b"RT @Ted_Wyman: #NHLJets GM Kevin Cheveldayoff on role Toby Enstrom waiving his NMC played in team's expansion draft strategy https://t.co/I\xe2\x80\xa6",-0.37905439755973624,Negative
