tweet, sentiment, polarity
b'@Chiarelli_Bau decile que venga a mi casa..',-0.4364130434782605,Negative
b'Peter Chiarelli once tried to trade the #2 over-all pick (Seguin) to the Oilers for Eberle. Tambellini turned it down.',-0.35300127713920776,Negative
b'@Chiarelli_Bau Y si el se muere?',-0.4364130434782605,Negative
b'@Chiarelli_Bau ya sabia...',-0.4364130434782605,Negative
b'@tomasavesk8 Ahr',-0.40731707317073124,Negative
b'@Lichu_Chiarelli Desde..siempre?',-0.4337662337662333,Negative
b'@Chiarelli_Bau sos lindo, te doy , me caes de 10',-0.4364130434782605,Negative
b"(Edmonton Journal):#Oilers' #GM Chiarelli: Cap space a huge component of Eberle-for-Strome swap : Edmonton.. https://t.co/APsc1LptIc",-0.509174311926605,Negative
b'@Chiarelli_Bau JAJAJAJAJAA',-0.4364130434782605,Negative
b'@Chiarelli_Bau con tu aiuda quedas mas idiota que ellas :) , xD',-0.41648936170212725,Negative
b'RT @NicholsOnHockey: Chiarelli on Strome: Good size, terrific wrist shot, "very, very cerebral player," can play C or W. Good on half-wall.\xe2\x80\xa6',-0.3439855072463771,Negative
b'RT @BarSouthNCelly: Patrice Bergeron just completely ignored Peter Chiarelli while going up for his NHL Award \xf0\x9f\x98\x82\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb https://t.co/fXjp8BVKhU',-0.4021200067704816,Negative
b"@JMarshyBosco93 @EdmontonOilers Come on @EdmontonOilers this can't be true.  Even Peter Chiarelli isn't this stupid.",-0.5079999999999996,Negative
b'RT @BarSouthNCelly: Patrice Bergeron just completely ignored Peter Chiarelli while going up for his NHL Award \xf0\x9f\x98\x82\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb https://t.co/fXjp8BVKhU',-0.4022953066118543,Negative
b'@OilersNation Chiarelli:  *grabs shovel and pushes every cent and more over to Russell X 4 year*',-0.308333333333333,Negative
b'RT @BarSouthNCelly: Patrice Bergeron just completely ignored Peter Chiarelli while going up for his NHL Award \xf0\x9f\x98\x82\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb https://t.co/fXjp8BVKhU',-0.4076909900650917,Negative
b'We ride. https://t.co/0SiEov8r4X',-0.41074470192117196,Negative
b'@Chiarelli_Bau planeador sin alas',-0.42578947368421016,Negative
b'Hey Chiarelli, gtf off my TL https://t.co/nl0BbjPEMT',-0.3507113821138206,Negative
b'RT @AmoreLopez1: Quiero que ya empiecen las vacaciones mabel',-0.4091981132075475,Negative
b'@tomasavesk8 Desde cuando?',-0.40731707317073124,Negative
b'RT @samepija: Pueden tomarse dos minutos y leer esto, la verdad que la aplaudo https://t.co/9l0kJb2TKP',-0.36506522430798644,Negative
