tweet, sentiment, polarity
b'RT @reporterchris: Great answer from #sens GM Pierre Dorion, when asked what Erik Karlsson\'s defence partner has to do: "Give him the puck."',-0.3903225806451617,Negative
b'Senators GM Dorion not panicking about losing Methot https://t.co/ZzgC8uhI5j',-0.47499999999999953,Negative
b'Need a guy who can throw the body to play with Karlsson... AND NO DORION NOT BORO',-0.3653333333333329,Negative
b'RT @Senators: #Sens GM Pierre Dorion speaks with media a day before the NHL draft about picks, trade talks and free agency. https://t.co/aY\xe2\x80\xa6',-0.40928116469517795,Negative
b'RT @OttawaCitizen: Dorion: Keep calm and carry on https://t.co/SCvYE9emMM https://t.co/Z3rM1iVdhW',-0.3852216748768483,Negative
b'@HockeyScanner @6thSens What people dont understand is that if Dorion really wanted to protect/keep methot, he would have. Its simple.',-0.4156626506024092,Negative
b'Dorion: Keep calm and carry on https://t.co/SCvYE9emMM https://t.co/Z3rM1iVdhW',-0.41303930968360464,Negative
b'RT @reporterchris: Great answer from #sens GM Pierre Dorion, when asked what Erik Karlsson\'s defence partner has to do: "Give him the puck."',-0.40069124423963176,Negative
b"RT @SensChirp: Here's the full Dorion interview. Comment on July 1st is towards the end of the clip. https://t.co/l7cmSldga2",-0.44225420597102133,Negative
b'Dorion: Keep calm and carry on #Senators #Sens https://t.co/Ay8ipJgBRH',-0.484523809523809,Negative
b'RT @SunGarrioch: Dorion said the organization is confident they have the depth on defence to replace Methot. #Sens',-0.3279069767441859,Negative
b'RT @reporterchris: Great answer from #sens GM Pierre Dorion, when asked what Erik Karlsson\'s defence partner has to do: "Give him the puck."',-0.3589285714285719,Negative
b'RT @Senators_Army: GM Pierre Dorion: "He (Methot) is a good quality human being. In some ways you are disappointed for him." #Sens',-0.35444834183673496,Negative
b'RT @Senators_Army: GM Pierre Dorion: "He (Methot) is a good quality human being. In some ways you are disappointed for him." #Sens',-0.3759569377990433,Negative
b"RT @SensChirp: Here's the full Dorion interview. Comment on July 1st is towards the end of the clip. https://t.co/l7cmSldga2",-0.4357969576719589,Negative
b'RT @reporterchris: Great answer from #sens GM Pierre Dorion, when asked what Erik Karlsson\'s defence partner has to do: "Give him the puck."',-0.3903225806451617,Negative
b'RT @SensChirp: Talking about his plan for July 1st, Dorion said "We could go out and sign someone that would be more than happy to play wit\xe2\x80\xa6',-0.4320276497695856,Negative
b'RT @Senators_Army: GM Pierre Dorion: "He (Methot) is a good quality human being. In some ways you are disappointed for him." #Sens',-0.3867224880382778,Negative
b'RT @Senators_Army: GM Pierre Dorion: "It\'s not the case of we lost the best defenseman in the NHL. It\'s the case we lost his (Karlsson\'s) p\xe2\x80\xa6',-0.3760152284263959,Negative
b"Can't say there's one player from that list I'd like to see getting 20 minutes a night next to Erik Karlsson. Dorion's making me worried.",-0.43598130841121463,Negative
b"RT @SensChirp: Here's the full Dorion interview. Comment on July 1st is towards the end of the clip. https://t.co/l7cmSldga2",-0.44621362433862555,Negative
b'RT @snseanreynolds: Dorion says it was clear early on Vegas was asking far too much to lay off Methot. Says they would have lost numerous a\xe2\x80\xa6',-0.33083333333333365,Negative
b'RT @SunGarrioch: Dorion says he and McPhee were "never on the same page" in trade talks. #Sens',-0.36642156862745134,Negative
b'RT @SunGarrioch: Dorion will explore all options: Trade and free agency. #Sens',-0.3566176470588236,Negative
b'RT @SunGarrioch: Dorion said the organization is confident they have the depth on defence to replace Methot. #Sens',-0.3541666666666667,Negative
b"RT @SunGarrioch: Dorion said the price of moving up in tomorrow's draft is high. Is more likely to move back if that scenario presents itse\xe2\x80\xa6",-0.3223502304147465,Negative
b'Dorion: Keep calm and carry on - CHICAGO \xe2\x80\x94 Life will go on for the Ottawa Senators. No, Pierre Dorion isn\xe2\x80\x99t ple... https://t.co/TQpIImOIQL',-0.4344999999999996,Negative
b'RT @SensChirp: Talking about his plan for July 1st, Dorion said "We could go out and sign someone that would be more than happy to play wit\xe2\x80\xa6',-0.3628691983122365,Negative
