tweet, sentiment, polarity
b'RT @SeanEFrye: The nominees for @ParsonsSun Girls Coach of the Year:\n\nJanna Olson\nKristi Snider\nDoug Tuck\nHeather Wilson https://t.co/h12Vx\xe2\x80\xa6',-0.37971169723747095,Negative
b'Doug Wilson if you can see this do us a favour and give Michael Haley whatever he wants! Please bring him back! https://t.co/SKoxJRahod',-0.34648692810457477,Negative
b'The latest The Donnie Wilson Daily! https://t.co/aFMhNsKPqN Thanks to @AuntLulie @veneziaunica @doug_hanks #success #nbadraft',-0.349583333333333,Negative
b"Can't wait for the Russell Wilson to Doug Baldwin video one day. https://t.co/1fTW6rSjBo",-0.39089026915113817,Negative
b'RT @SanJoseSharks: Get your questions ready: #SJSharks GM Doug Wilson will be on Facebook Live around noon!  \n\nhttps://t.co/yfp0tpI0zr http\xe2\x80\xa6',-0.40138259391615144,Negative
b'RT @SeanEFrye: The nominees for @ParsonsSun Girls Coach of the Year:\n\nJanna Olson\nKristi Snider\nDoug Tuck\nHeather Wilson https://t.co/h12Vx\xe2\x80\xa6',-0.4045003607503612,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.39844155844155904,Negative
b'RT @SeanEFrye: The nominees for @ParsonsSun Girls Coach of the Year:\n\nJanna Olson\nKristi Snider\nDoug Tuck\nHeather Wilson https://t.co/h12Vx\xe2\x80\xa6',-0.3856522317273175,Negative
b'RT @SeanEFrye: The nominees for @ParsonsSun Girls Coach of the Year:\n\nJanna Olson\nKristi Snider\nDoug Tuck\nHeather Wilson https://t.co/h12Vx\xe2\x80\xa6',-0.4147600775847536,Negative
b'The nominees for @ParsonsSun Girls Coach of the Year:\n\nJanna Olson\nKristi Snider\nDoug Tuck\nHeather Wilson https://t.co/h12Vxs39by',-0.38749006095944843,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.3863962124831696,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.4073894054663292,Negative
b"Freedom Movement featured on Doug Wilson's Content Cluster! Muster (06.22.17) https://t.co/LNC8aJYqoK via @douglaswils",-0.439380530973451,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.4067005749668293,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.41951171099642764,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.4436674436674445,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.433340097402598,Negative
b'@Russostrib Lots of Tire Kicking" going on by @SanJoseSharks GM Doug Wilson',-0.41329113924050587,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.40805490805490846,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.4329597343295978,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.45321414986687036,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.43163189269746727,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.38906138360021914,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.40095275903136196,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.4075029773719733,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.4626283758082929,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.4173283048828905,Negative
b"RT @CurtisPashelka: One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and\xe2\x80\xa6",-0.468904526435908,Negative
b"One small tidbit from Doug Wilson's Facebook live chat -- #SJSharks will host rookie tournament w/Arizona, Colorado and Anaheim at @S4A_Ice",-0.473237476808905,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.40144637970724983,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.40995058400718826,Negative
b"RT @j_perna: Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm\xe2\x80\xa6",-0.3854712041884815,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.3866199589883806,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.3863962124831696,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.37589957812887803,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.40644974148109025,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.40144637970724983,Negative
b"RT @SanJoseSharks: #SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https:\xe2\x80\xa6",-0.4109314252626362,Negative
b"#SJSharks General Manager Doug Wilson is answering fans' questions on Facebook Live now!\n\nhttps://t.co/fR8Is5p42v https://t.co/mL7yMQpCoG",-0.3910746971149652,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.390068218298556,Negative
b'RT @SanJoseSharks: Get your questions ready: #SJSharks GM Doug Wilson will be on Facebook Live around noon!  \n\nhttps://t.co/yfp0tpI0zr http\xe2\x80\xa6',-0.4115954994437974,Negative
b'/pokes Doug Wilson https://t.co/Ml42aJFcqR',-0.40844594594594535,Negative
b'RT @ctg_secure: International Travel Safety: What You Should Know with Doug Wilson Wed., June 28 // 6-7PM // Dawson Memorial BC // dmoss@da\xe2\x80\xa6',-0.4581896551724146,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.40995058400718826,Negative
b'International Travel Safety: What You Should Know with Doug Wilson Wed., June 28 // 6-7PM // Dawson Memorial BC //\xe2\x80\xa6 https://t.co/HlzO1dWDqM',-0.5136842105263154,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.38906794425087154,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.37151662440124017,Negative
b'@JonathanMerritt Maybe he left his phone around Doug Wilson or something',-0.36582278481012614,Negative
b'What does Doug Wilson sound like when the end of your accomplishments will take his threats seriously.',-0.31739200515796223,Negative
b'RT @SanJoseSharks: Get your questions ready: #SJSharks GM Doug Wilson will be on Facebook Live around noon!  \n\nhttps://t.co/yfp0tpI0zr http\xe2\x80\xa6',-0.40138259391615144,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.3961935961935966,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.41702605570530155,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.40845571873609304,Negative
b'RT @SanJoseSharks: Get your questions ready: #SJSharks GM Doug Wilson will be on Facebook Live around noon!  \n\nhttps://t.co/yfp0tpI0zr http\xe2\x80\xa6',-0.39383225834568164,Negative
b'RT @SamuelRGold: Russell Wilson connected with Doug Baldwin on this deep 50 yard post route vs the #Bills.\n\n#Seahawks #GoHawks https://t.co\xe2\x80\xa6',-0.4105705440070771,Negative
b"So Vegas didn't even want Schlemko and Doug Wilson couldnt entice them to take one of his bad contracts? Wake the f\xe2\x80\xa6 https://t.co/9TyP6T9fJ9",-0.4445714285714288,Negative
b'RT @SanJoseSharks: Get your questions ready: #SJSharks GM Doug Wilson will be on Facebook Live around noon!  \n\nhttps://t.co/yfp0tpI0zr http\xe2\x80\xa6',-0.38628192277521184,Negative
b'RT @SanJoseSharks: Get your questions ready: #SJSharks GM Doug Wilson will be on Facebook Live around noon!  \n\nhttps://t.co/yfp0tpI0zr http\xe2\x80\xa6',-0.37575722999045735,Negative
