tweet, sentiment, polarity
b'@iftheshoefits82 @AH_Maxy @AnaheimCalling You know who should be Ducks GM? Whoever is responsible for those picks!\xe2\x80\xa6 https://t.co/YWrfSvFQ1x',-0.48529411764705843,Negative
b"@iftheshoefits82 @AH_Maxy @AnaheimCalling Do u think it's a coincidence Ducks always DRAFT skilled D, but at the NH\xe2\x80\xa6 https://t.co/0MUUf3HUiq",-0.47823529411764665,Negative
b'RT @AH_Maxy: @iftheshoefits82 @Punch4Pound @AnaheimCalling Whatever you say. Main reason Ducks have been competitive so long is the twins w\xe2\x80\xa6',-0.47946287519747327,Negative
b"@iftheshoefits82 @Punch4Pound @AnaheimCalling Ducks have run with 5 top 6 forwards for past 5 years. You don't win\xe2\x80\xa6 https://t.co/E6dpqeIDBM",-0.47298850574712603,Negative
b'@iftheshoefits82 @Punch4Pound @AnaheimCalling Whatever you say. Main reason Ducks have been competitive so long is\xe2\x80\xa6 https://t.co/Itf4uhTlYX',-0.47605363984674287,Negative
b'Plenty of racetrack left. And remember, Sami likely not ready  for season. Ducks have enough for Murray to slow coo\xe2\x80\xa6 https://t.co/jxTw3aC2Wr',-0.41747159090909103,Negative
b'@AH_Maxy @AnaheimCalling Murray just gave away Theodore to protect Bieksa, when he could have gotten Drouin two yea\xe2\x80\xa6 https://t.co/uqHhY7175k',-0.49567901234567857,Negative
b'@LizardRumsfeld @pixelatedboat When will Charles Murray write "The Bill Curve" proving some ducks are smarter than others?',-0.5060126582278478,Negative
b"To clarify I'm saying Bob Murray should pick up the phone for Galchenyuk. I don't doubt the Ducks haven't inquired yet.",-0.3542105263157891,Negative
b"The Samuelis love the orange Mighty Ducks jersey. Bob Murray said we're going to go with New Jersey's the year after this one. @AnaheimDucks",-0.4120610870610868,Negative
b'RT @curtiszupke: Ducks GM Bob Murray in release thanks Stoner/Theodore. Also said "we felt freeing up some salary would help us this summer\xe2\x80\xa6',-0.40575916230366516,Negative
