tweet, sentiment, polarity
b"RT @BrettCyrgalis: After Garth Snow wheeled and dealed, his first return is back - and it's a good one. #Isles trade Strome for Eberle. htt\xe2\x80\xa6",-0.28883254859350466,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.4188034188034196,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.41773504273504347,Negative
b'@mattsauve19 @Joe_alltogether Garth Snow keeps coming back for more and Chiarelli keeps givin it https://t.co/zbl6UoCK42',-0.3130444250871078,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.42259414225941505,Negative
b'RT @TheTowelBoy: When Garth Snow sees Chiarelli on the caller ID: https://t.co/1PImQWly05',-0.4187726358148902,Negative
b'The only GM that would cough up two 1st round picks for Hamonic would be Garth Snow. https://t.co/kl9i9McBrC',-0.34858217592592594,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.36462882096069904,Negative
b'RT @JxredNHL: Garth Snow just committed robbery in 2017',-0.43428387650085803,Negative
b'that said i would enjoy seeing garth snow bend sakic to his will. kneel. https://t.co/XGvM5YUbC9',-0.37084086799276633,Negative
b"RT @Schiefer4: @wnyh2234 When you're getting fleeced by Garth F'ing Snow, that's beyond bad.",-0.41653934300993223,Negative
b"RT @TimRiday: Garth Snow: We'll give you Strome and a pick for Eberle.\n\nPeter Chiarelli: Strome for Eberle straight up or no deal.",-0.3594170403587448,Negative
b'@RTaub_ I take back the second part of my day initial tweet.  Garth Snow should be fired. Full stop.',-0.35575757575757544,Negative
b"RT @EthanGSN: There's the Garth Snow we know and hate. https://t.co/2t6iqaQ3BI",-0.45055772448410625,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.4193925233644863,Negative
b'Man, I hope Garth Snow stops owning Chiarelli so hard.',-0.3926406926406922,Negative
b"Garth Snow is Peter Chiarelli's kryptonite. Can't win a trade against him #Oilers",-0.3160714285714281,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.4166666666666675,Negative
b'RT @chrispagnani: Peter Chiarellis last 3 trades with Garth Snow:\nJohnny Boychuk for 2 2nds\nGriffin Reinhart for a 1st and 2nd\nJordan Eberl\xe2\x80\xa6',-0.4193925233644863,Negative
b"RT @RTaub_: I'm beginning to assume that Garth Snow and Peter Chiarelli are locked in a room playing Battleship, with the winner getting a\xe2\x80\xa6",-0.3665723500060857,Negative
b'RT @DimFilipovic: The next time Peter Chiarelli sees Garth Snow calling him he needs to throw his phone away and go for a long walk',-0.3733031674208148,Negative
