tweet, sentiment, polarity
b'RT @BroadStBull: #Flyers GM Ron Hextall searching for another goalie https://t.co/d7kuPQkTBY',-0.42195585996955903,Negative
b'#Flyers GM Ron Hextall searching for another goalie https://t.co/d7kuPQkTBY',-0.4426315789473681,Negative
b'Flyers GM Ron Hextall searching for another goalie https://t.co/nHF9NpwIXU',-0.4650442477876102,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.3938053097345138,Negative
b"RT @Tendy_Gear: Ron Hextall \nPhiladelphia Flyers (1995-96) \nVaughn Legacy pads with Brian's gloves https://t.co/xH82QQiwHg",-0.41418650793650896,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.416666666666667,Negative
b"RT @Tendy_Gear: Ron Hextall \nPhiladelphia Flyers (1995-96) \nVaughn Legacy pads with Brian's gloves https://t.co/xH82QQiwHg",-0.40347490347490417,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.3988941548183258,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.39159292035398274,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.4177489177489186,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.3696682464454975,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.384774881516588,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.41898148148148234,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.3956310679611654,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.37440758293838855,Negative
b"@Flyers_Rumors I think he is restricted but Weal isn't... I really want to see Hextall shock everybody and make 2-3\xe2\x80\xa6 https://t.co/zNMZkA5vhJ",-0.34011627906976705,Negative
b"RT @Tendy_Gear: Ron Hextall \nPhiladelphia Flyers (1995-96) \nVaughn Legacy pads with Brian's gloves https://t.co/xH82QQiwHg",-0.41698841698841793,Negative
b'RT @davegisaac: After talking to Ron Hextall, sounds like all this talk about moving the second-overall pick is overblown.',-0.3766968325791858,Negative
b'RT @broadstreetbosh: Hidden footage of #Hextall getting ready for the #NHLDRAFT2017 #NHLDraft in Chicago.  #Philadelphia #Flyers #2Pick @TS\xe2\x80\xa6',-0.34718954248366085,Negative
