tweet, sentiment, polarity
b"M\xc3\xa4 oon yx fakin' samuraichef. Kukaan ei saa tulla mun hoodeille ku laitan #japanesefood #BANZAIJAPAN https://t.co/pvUtSi4vEC",-0.39885297184567214,Negative
b'https://t.co/DdUo1Aui6a Juhannus- vai vappusimaa #politiikanuskottavuus R.I.P. https://t.co/9euzZlEOsm',-0.39885297184567214,Negative
b'RT @Aportzline: #CBJ Jarmo Kekalainen finished seventh in GM of the year voting, and received one first-place vote.',-0.46330275229357887,Negative
b'RT @Buds_All_Day: @Irish_Eric I want to know what Kekalainen knew and when.',-0.3596059113300491,Negative
b'@Irish_Eric I want to know what Kekalainen knew and when.',-0.4337662337662333,Negative
b'RT @Aportzline: #CBJ Jarmo Kekalainen finished seventh in GM of the year voting, and received one first-place vote.',-0.42528195488721854,Negative
b'RT @Aportzline: #CBJ Jarmo Kekalainen finished seventh in GM of the year voting, and received one first-place vote.',-0.43497757847533675,Negative
b'RT @1stOhioBattery: Blue Jackets GM Jarmo Kekalainen finishes seventh in voting for GM of the Year, receiving one first-place vote. #CBJ ht\xe2\x80\xa6',-0.3967418546365926,Negative
b'RT @Aportzline: #CBJ Jarmo Kekalainen finished seventh in GM of the year voting, and received one first-place vote.',-0.43507751937984573,Negative
b'JARMO KEKALAINEN',-0.3853571428571424,Negative
b'RT @Aportzline: #CBJ Jarmo Kekalainen finished seventh in GM of the year voting, and received one first-place vote.',-0.45798319327731163,Negative
b'RT @1stOhioBattery: Blue Jackets GM Jarmo Kekalainen finishes seventh in voting for GM of the Year, receiving one first-place vote. #CBJ ht\xe2\x80\xa6',-0.4024381868131878,Negative
b'Blue Jackets GM Jarmo Kekalainen finishes seventh in voting for GM of the Year, receiving one first-place vote. #CBJ https://t.co/UmbBvxnK4r',-0.4003985285101168,Negative
b'#CBJ Jarmo Kekalainen finished seventh in GM of the year voting, and received one first-place vote.',-0.4745098039215683,Negative
b'#CBJ GM Jarmo Kekalainen received a few votes and finished 7th in the voting https://t.co/wUCmLopTJS',-0.3631493506493508,Negative
b'Just a perfect day... #PerfectDay #keeponrocking #letsgetalife #l\xc3\xb6yd\xc3\xa4itsesi #rakastaitse\xc3\xa4si https://t.co/TBnVz9gyKc',-0.3940886699507385,Negative
b'RT @AlisonL: Jarmo Kekalainen on Foligno \xe2\x80\x9cHe\xe2\x80\x99s a tremendous leader on and off the ice, and he is very deserving.\xe2\x80\x9d #CBJ',-0.3785623409669218,Negative
b'Jarmo Kekalainen on Foligno \xe2\x80\x9cHe\xe2\x80\x99s a tremendous leader on and off the ice, and he is very deserving.\xe2\x80\x9d #CBJ',-0.3977557755775575,Negative
