tweet, sentiment, polarity
b'@pjblake2 Scale: No patience --- Ken Holland',-0.4869937694704045,Negative
b'@HockeytownEvan Patience like Ken Holland patience and keep the kids down in GR until they are 23-26 yes old? \xf0\x9f\x98\x82',-0.4137174211248281,Negative
b'Lento/Veloz - Ken Holland vs Mess Edit Remix di Tiziano Ferro https://t.co/gqT94a15Im #NowPlaying',-0.4371134020618553,Negative
b'I hate Ken Holland so much',-0.37619047619047585,Negative
b'@wingingitmotown Remember when the rumor was Tatar for Fowler? \n\nThe answer is always gonna be the same though. Ken\xe2\x80\xa6 https://t.co/6LrzrVvBBA',-0.42160493827160456,Negative
b'Just saved a track on Spotify "Don\'t Be Fool - Radio Edit" by Ken Holland, Daniel Cherry https://t.co/f71gVxTJBR',-0.29067796610169466,Negative
b'Just saved a track on Spotify "Don\'t Be Fool - Original Mix" by Ken Holland, Daniel Cherry https://t.co/h3YhTAoAvb',-0.2795833333333331,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.39218880534670103,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.3757754477937971,Negative
b'RT @marcinkus1351: Prediction- Red Wings trade for Dion Phaneuf and sign Shane Doan, \n\n"We like our team." - Ken Holland',-0.3431372549019606,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.3638166311300647,Negative
b'@TSNSimmer  if next season is Andys last, does Dorion call Ken Holland and see if Mrazek is available?!? #curious',-0.3536082474226801,Negative
b'RT @wingingitmotown: Ken Holland received no votes for GM of the year. I hope you were sitting down for that.',-0.43011337868480826,Negative
b'Prediction- Red Wings trade for Dion Phaneuf and sign Shane Doan, \n\n"We like our team." - Ken Holland',-0.30365853658536546,Negative
b'@CraigCustance @TheAthleticDET this would totally be a horrid ken holland move though',-0.40308641975308596,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.3757754477937971,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.3826561817387513,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.3782523672293134,Negative
b'RT @BrandonPeleshok: Ken Holland: "Petr, we didn\'t actually break up. I said maybe we should break up if you keep treating me bad. Don\'t ov\xe2\x80\xa6',-0.4339207048458158,Negative
b'@JBsTwoCents As a 40 (ahem) something, I think it should be our privilege to do so!',-0.28820224719101084,Negative
b'RT @XThreeee: Ken Holland waiting for some old NHL vet with grit to be available https://t.co/YrnI5xE1YV',-0.34834858734580254,Negative
b'@da_horton  https://t.co/8nPFHzyLDv',-0.34365634365634334,Negative
b'@ButlerMBB @CoachLowery Congrats Coach!',-0.32303370786516816,Negative
b'RT @Christch97: Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.3512908777969024,Negative
b'RT @XThreeee: Ken Holland waiting for some old NHL vet with grit to be available https://t.co/YrnI5xE1YV',-0.3650060024009611,Negative
b'Detroit Red Wings fans right now towards Ken Holland https://t.co/7FUrFM9Zc9',-0.38113006396588445,Negative
b'RT @mikelevelsup: Live look at #RedWings GM Ken Holland. https://t.co/B4nk2ET7jJ',-0.42402791818959573,Negative
b"@DerySpeaks @KyleBogey971 That's a Ken Holland move....give guy away, overpay in a trade to get him back years later.",-0.4475903614457828,Negative
b'RT @mikelevelsup: Live look at #RedWings GM Ken Holland. https://t.co/B4nk2ET7jJ',-0.4207236716086282,Negative
b'RT @mikelevelsup: Live look at #RedWings GM Ken Holland. https://t.co/B4nk2ET7jJ',-0.39933724093016226,Negative
b'RT @AdamRStroz: DocNJock talk Tigers looking different after this road trip, NBA Draft w/@JakeChapmanNBA &amp; Ken Holland missing again https:\xe2\x80\xa6',-0.4721991701244822,Negative
b'Live look at #RedWings GM Ken Holland. https://t.co/B4nk2ET7jJ',-0.4416305916305912,Negative
b'RT @sergeifedorovs: @ ken holland https://t.co/cfQjuskup0',-0.384153122326776,Negative
b"@DennisTFP Shouldn't ALL GMs be doing this??\nMind you I do recall ken Holland saying he wasn't aware Thornton was a\xe2\x80\xa6 https://t.co/YLPh64c4DV",-0.41543209876543175,Negative
b"RT @WingedOctopus: It's that time of year. Trades are happening... Where ya at Ken Holland?",-0.4103047520661165,Negative
b'@e_presement Remember when people thought Ken Holland was good? Good times. Probably one of the worst atm.',-0.4015306122448976,Negative
b'@wingingitmotown All these trades flying around and Ken Holland just sitting here like https://t.co/qkY87EkebJ',-0.4412499999999996,Negative
b"It's that time of year. Trades are happening... Where ya at Ken Holland?",-0.3634433962264148,Negative
b'@tigersjostun Ken Holland after reading that tweet https://t.co/VdakvlNc5p',-0.3855519480519476,Negative
b"RT @JLBarroso22: @tigersjostun Ken Holland's moves:\ntrade no one\nsign everyone",-0.4421487603305793,Negative
b"@tigersjostun Ken Holland's moves:\ntrade no one\nsign everyone",-0.4139175257731955,Negative
b'RT @AdamRStroz: DocNJock talk Tigers looking different after this road trip, NBA Draft w/@JakeChapmanNBA &amp; Ken Holland missing again https:\xe2\x80\xa6',-0.418326118326119,Negative
b"@davelozo @DownGoesBrown Since Ken Holland can't figure it out....how would you rebuild the Wings if you were in charge?",-0.39489664082687304,Negative
b"So if Ken Holland were to say 'We wanna get more defense' what secretive gameplan is he giving away exactly?",-0.37525252525252495,Negative
b'RT @XThreeee: Ken Holland waiting for some old NHL vet with grit to be available https://t.co/YrnI5xE1YV',-0.3535998484274353,Negative
b'DocNJock talk Tigers looking different after this road trip, NBA Draft w/@JakeChapmanNBA &amp; Ken Holland missing agai\xe2\x80\xa6 https://t.co/eidJTbBhES',-0.4666666666666663,Negative
