tweet, sentiment, polarity
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.4180440771349871,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.41431924882629145,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3744239631336409,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.3945497630331756,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.35368663594470034,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.39516129032258096,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.356981981981982,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3277027027027026,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.41019417475728187,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3744239631336409,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.3694690265486728,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3333333333333332,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.3394945303659,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.40935672514619964,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.34346846846846835,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.45089285714285804,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3080168776371307,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3037974683544303,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.3585972850678732,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.4159292035398239,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.46017699115044336,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.4402654867256646,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.41019417475728187,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.3681144067796613,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.41450216450216537,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3584459459459461,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.39099526066350754,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.35368663594470034,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3659909909909913,Negative
b'RT @kristen_shilton: Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season wit\xe2\x80\xa6',-0.41019417475728187,Negative
b'Lamoriello on the 2017 draft class:\n"There\'s good players to be had. It\'s our job to get them."',-0.35057471264367773,Negative
b'Lou Lamoriello said Joffrey Lupul had an exit physical like rest of players and did not pass it. Missed all season with injury.',-0.4201086956521735,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.36941964285714324,Negative
b"#LeafsNews: Lou Lamoriello says Lupul didn't pass his exit physical and isn't healthy.\n\n#TMLtalk",-0.4195454545454542,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3558558558558558,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.37398785425101294,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.36830357142857173,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.389008620689656,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.36405529953917043,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3394396551724138,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.36405529953917043,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.398706896551725,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3744239631336409,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3457207207207206,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3968085106382987,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3824367088607603,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.389008620689656,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.36392405063291167,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.34342878120411147,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.32599118942731264,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3629197379197383,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3405172413793103,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3723628691983126,Negative
b"RT @mirtle: Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.36405529953917043,Negative
b"Lamoriello says Lupul didn't pass his exit physical and isn't healthy.",-0.3575757575757572,Negative
b'Would love to see how Lou Lamoriello would handle a #Leafs star having a dad like Lavar Ball. #LavarIsland',-0.4740740740740737,Negative
b"RT @LeoScaglioneJr: Interesting note (to me): Three rookies won the Calder Trophy under Lou Lamoriello's watch: Martin Brodeur, Scott Gomez\xe2\x80\xa6",-0.4270023656640763,Negative
b'@TSNBobMcKenzie so if not miller who do u think lamoriello was talking about to lvgk about at 445 am?',-0.3585365853658532,Negative
b"RT @LeoScaglioneJr: Interesting note (to me): Three rookies won the Calder Trophy under Lou Lamoriello's watch: Martin Brodeur, Scott Gomez\xe2\x80\xa6",-0.4369411326378545,Negative
b'RT @PPPLeafs: Lou Lamoriello was fourth in voting for GM of the year.  Mike Babcock was second in voting for coach of the year.',-0.44805433186490523,Negative
