tweet, sentiment, polarity
b'RT @cyclelikesedins: More from McPhee: mwahahaha https://t.co/qFsyc6wcKf',-0.4021604938271617,Negative
b'@PierreVLeBrun McPhee may go down as the worst choice Vegas could have come up with.Unwilling to make things diffic\xe2\x80\xa6 https://t.co/oxK5aXRUhU',-0.4121820615796516,Negative
b'RT @httpcaps: retweet if youve ever felt personally victimized by george mcphee',-0.41131221719457056,Negative
b"RT @TSNRyanRishaug: Asked about RFA offer sheets,McPhee says  it's not something he's done in past and won't in future.  So no.",-0.3968434343434347,Negative
b"RT @recordsANDradio: wouldn't want George McPhee to do something Erational... https://t.co/YnFZIe2sSq",-0.4137861736334418,Negative
b"RT @TSNRyanRishaug: Asked about RFA offer sheets,McPhee says  it's not something he's done in past and won't in future.  So no.",-0.4054404145077724,Negative
b"@Xav @PierreVLeBrun It doesn't make sense to overpay for an RFA and give up a ton of picks in compensation, especia\xe2\x80\xa6 https://t.co/l83VsR5QQb",-0.4123456790123452,Negative
b"wouldn't want George McPhee to do something Erational... https://t.co/YnFZIe2sSq",-0.4457236842105262,Negative
b"RT @TSNRyanRishaug: Asked about RFA offer sheets,McPhee says  it's not something he's done in past and won't in future.  So no.",-0.3813131313131314,Negative
b'@chile_pepper @PierreVLeBrun gm George McPhee',-0.33876404494381984,Negative
b'@chile_pepper McPhee',-0.2916149068322977,Negative
b'@chile_pepper @PierreVLeBrun George McPhee',-0.4600917431192657,Negative
b'Why is George McPhee always referred to as GMGM',-0.479444444444444,Negative
b'Lavar Ball \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84. Stop interviewing him!',-0.35962566844919747,Negative
b'@chile_pepper @PierreVLeBrun Vegas GM George McPhee',-0.4490506329113921,Negative
b'RT @DiaryWank: Katharine McPhee.... wowza. \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/HSDJcXKoTu',-0.3589565278166065,Negative
b'RT @JeremyWGR: A smart George McPhee offers 11 mil per year. https://t.co/uhFrXLW6gU',-0.38656193490054375,Negative
b'@chile_pepper @PierreVLeBrun GM George McPhee',-0.41329113924050587,Negative
b'@chile_pepper @PierreVLeBrun General manager George McPhee',-0.3919080919080915,Negative
b'No surprise here considering McPhee was too polite to take good players who were left exposed for him. https://t.co/oqVUe7jwyt',-0.38352201257861585,Negative
b'RT @frank_seravalli: THE PLEDGE: How George McPhee held #NHL GMs hostage to acquire unprecedented assets and build @GoldenKnights - https:/\xe2\x80\xa6',-0.33920454545454626,Negative
b"Asked about RFA offer sheets,McPhee says  it's not something he's done in past and won't in future.  So no.",-0.41012658227848053,Negative
b"@VGKHockeyClub @jkarsh @LasVegasLocally @davelozo @SinBinVegas It's obviously a hot take piece and I get it, but th\xe2\x80\xa6 https://t.co/uS4M4aaKUT",-0.458962264150943,Negative
b'RT @OVECHKlN: Good morning to everyone except George McPhee and Washington Capitals.',-0.38876146788990856,Negative
b'@jkarsh @LasVegasLocally @davelozo @SinBinVegas @VGKHockeyClub Yeah all around silly arguments... "McPhee didn\'t do\xe2\x80\xa6 https://t.co/ZCMWPZQuvT',-0.4640186915887846,Negative
b"@NoVa_Caps So, putting a horse head in George McPhee's bed isn't a good idea?",-0.3744536713286711,Negative
b'RT @DanyAllStar15: McPhee: we are proud to sele-\n\nHOW YOU LIKE ME NOW!!!',-0.3866533864541834,Negative
b'RT @DanyAllStar15: McPhee: we are proud to sele-\n\nHOW YOU LIKE ME NOW!!!',-0.3902489626556019,Negative
b"RT @adater: These are facts: 1. McPhee told Avs he'd take Varly if exposed. 2. Losing Varly for nothing would have left unproven kid as fut\xe2\x80\xa6",-0.33415841584158373,Negative
b'RT @cotsonika: McPhee on PIT and Fleury: "They gave us a pick to make sure it happened, and it was going to happen anyway."',-0.33951271186440685,Negative
b'RT @DiaryWank: Katharine McPhee.... wowza. \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/HSDJcXKoTu',-0.38126075731497466,Negative
b'RT @OVECHKlN: Good morning to everyone except George McPhee and Washington Capitals.',-0.38116591928251153,Negative
b'RT @mpatrickg5: George McPhee tonight: "I traded Forsberg for Neal"\n\n"George, that\'s not how it works"\n\n"I TRADED FORSBERG FOR NEAL"',-0.41666666666666696,Negative
b'RT @DiaryWank: Katharine McPhee.... wowza. \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/HSDJcXKoTu',-0.36253550127804646,Negative
b'RT @mpatrickg5: George McPhee tonight: "I traded Forsberg for Neal"\n\n"George, that\'s not how it works"\n\n"I TRADED FORSBERG FOR NEAL"',-0.4273399014778331,Negative
b'RT @3rdPeriodSuits: McPhee: I want Emelin\nBergevin: Okay what do we have to pay?\nMcPhee: What \nBergevin: What\nMcPhee: What \nBergevin: What\xe2\x80\xa6',-0.3667394468704515,Negative
b'RT @DiaryWank: Katharine McPhee.... wowza. \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/HSDJcXKoTu',-0.35057832792207844,Negative
b'RT @frank_seravalli: THE PLEDGE: How George McPhee held #NHL GMs hostage to acquire unprecedented assets and build @GoldenKnights - https:/\xe2\x80\xa6',-0.3372950819672134,Negative
b'https://t.co/FIqxHkKLZk  2013 #NHL DRAFT\nMcPhee wth are you doing.  Id take a player ever time!!! Picks are not worth much in the NHL.',-0.31728766025641,Negative
b'RT @mpatrickg5: George McPhee tonight: "I traded Forsberg for Neal"\n\n"George, that\'s not how it works"\n\n"I TRADED FORSBERG FOR NEAL"',-0.4159090909090916,Negative
b'RT @DanyAllStar15: McPhee: we are proud to sele-\n\nHOW YOU LIKE ME NOW!!!',-0.3757028112449801,Negative
