tweet, sentiment, polarity
b'RT @PeteBlackburn: David Poile "Peter Laviolette is the best coach in the NHL"\n\nThe NHL Awards: https://t.co/UkEfbIHepX',-0.39352553870710383,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.4326744186046516,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.368854166666667,Negative
b'Congrats to David Poile! https://t.co/HoapElkEeO',-0.40019749835418045,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.4431395348837216,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3589506172839508,Negative
b'RT @KingClarkie: David Poile: "Peter Laviolette is the best coach in the NHL."\n\nMe: https://t.co/FeSnn489yS',-0.39290537049157825,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3511959876543211,Negative
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.34830070866822255,Negative
b'RT @NickInParkEx: If Bergevin lost a scorer of James Neal quality for NOTHING, there would be riots outside the Bell Centre tonight. But Po\xe2\x80\xa6',-0.3874345549738219,Negative
b'RT @brooksbratten: CBJ Head Coach John Tortorella on hockey in NSH: "The way that city has taken off, it\'s great for our game and for David\xe2\x80\xa6',-0.34215909090909086,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3714092140921418,Negative
b'RT @PeteBlackburn: David Poile "Peter Laviolette is the best coach in the NHL"\n\nThe NHL Awards: https://t.co/UkEfbIHepX',-0.40442739079102813,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3120943952802359,Negative
b'Wishful thinking of the day. Neal plays one year in Vegas, finishes contract, returns to Preds, and Poile fleeces McPhee again @PredsNHL',-0.36626506024096345,Negative
b"RT @Sheng_Peng: LATEST: Fleury, Poile, Engelland &amp; Garrison Talk Expansion + Nolan Patrick on Kelly McCrimmon's Impact on Him https://t.co/\xe2\x80\xa6",-0.4559734513274345,Negative
b'Congratulations David Poile on winning NHL General Manager of the Year Award! @PredsNHL',-0.4086633663366333,Negative
b"GM Poile is starting to sound like #Trashville's fans. It is fine for Predators to get benefit of bad calls &amp; no ca\xe2\x80\xa6 https://t.co/V3XkXz3Z2m",-0.4025089605734769,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.4326744186046516,Negative
b"@PREDStotheCUP I'll go with e, the camera guy who panned over to Poile for the close up after the Neal selection",-0.44509803921568597,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3471841704718418,Negative
b"RT @kmartel_sports: If you're mad at Poile, don't be. He's in Vegas to potentially win GM of the Year. He won't get fleeced in a trade, eve\xe2\x80\xa6",-0.24060441370223948,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.38287101248266375,Negative
b'@PredsTalk johasen stepan jarnkrok sissons would be pretty nice down the middle. dont know if poile does it',-0.38067901234567864,Negative
b'RT @PredsNHL: Congrats to our GM David Poile! None more deserving. #Preds https://t.co/MzAae5cyTF',-0.36689870863599744,Negative
b'@LW3H The ones not sent by David Poile',-0.32845849802371496,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.41591836734693954,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.348533950617284,Negative
b'RT @NHL: David Poile of the @PredsNHL has been selected as the General Manager of the Year. #NHLAwards https://t.co/RCYH7aKkXH',-0.40185633575464175,Negative
b'RT @rikaaxt: Petite boule de poile grandis https://t.co/C3u8SaItEx',-0.3898958672307196,Negative
b"@Line_ZF Et pile poile au milieu c'est mon anniv ! Bon je vise le phare comme auto cadeau \xf0\x9f\x98\x8e",-0.38409090909090865,Negative
b'RT @rikaaxt: Petite boule de poile grandis https://t.co/C3u8SaItEx',-0.3762870780770547,Negative
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.3323771048343294,Negative
b'RT @NHLNetwork: Congratulations to @PredsNHL GM David Poile on winning General Manager of the Year! #NHLAwards #NHLTonight https://t.co/nfC\xe2\x80\xa6',-0.4127193877551028,Negative
b'RT @frank_seravalli: Not on the official agenda but David Poile would like to begin discussion about situations like the blown call in SCF\xe2\x80\xa6',-0.36064814814814933,Negative
b'RT @frank_seravalli: Not on the official agenda but David Poile would like to begin discussion about situations like the blown call in SCF\xe2\x80\xa6',-0.35833333333333445,Negative
b'Predators\xe2\x80\x99 David Poile named 2016-17 NHL GM of the Year https://t.co/sPudy8RtXI https://t.co/gyJxSUpdS4',-0.47656249999999967,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.4228409090909095,Negative
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.31576775811988406,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.44000000000000083,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.3701395207764643,Negative
b'RT @1025TheGame: Congratulations to @PredsNHL General Manager David Poile being named 2017 @NHL General Manager of the Year!  #Preds #Smash\xe2\x80\xa6',-0.42587316176470685,Negative
