tweet, sentiment, polarity
b"@Rob_Melrose @JKH2 Lmao wut? That's your rebuttal? F'n terrible....",-0.4199999999999996,Negative
b'Blake Bortles on his TD throw to A Rob in the back of the end zone. Lord have mercy lol https://t.co/A6Q7RJE63T',-0.3704872646733107,Negative
b'Kings GM Rob Blake looking for offense in the NHL\xc2\xa0draft https://t.co/nx27qeJhmW https://t.co/e07Ej5ltN5',-0.43762575452716257,Negative
b'Kings GM Rob Blake looking for offense in the NHL draft https://t.co/PvNK11Mf9a https://t.co/SDoGseHGRM',-0.42528195488721754,Negative
b'Kings GM Rob Blake looking for offense in the NHL draft https://t.co/NudtjJPe4O https://t.co/dqkYX0JNMU',-0.45347082494969776,Negative
b'Kings GM Rob Blake looking for offense in the NHL draft https://t.co/oy7Nk4bIIr',-0.3839506172839503,Negative
b'Kings GM Rob Blake looking for offense in the NHL draft #Ducks #NHLDucks #NHL https://t.co/mQNpdHSoKX https://t.co/GLqlyENeu7',-0.45028957528957486,Negative
b'RT @AnaheimSigns: Kings GM Rob Blake looking for offense in the NHL draft https://t.co/aYHiwB4WgZ #AnaheimSigns View Map Here: https://t.co\xe2\x80\xa6',-0.45153508771929907,Negative
b'RT @AnaheimSigns: Kings GM Rob Blake looking for offense in the NHL draft https://t.co/aYHiwB4WgZ #AnaheimSigns View Map Here: https://t.co\xe2\x80\xa6',-0.45311111111111196,Negative
b'RT @AnaheimSigns: Kings GM Rob Blake looking for offense in the NHL draft https://t.co/aYHiwB4WgZ #AnaheimSigns View Map Here: https://t.co\xe2\x80\xa6',-0.43862660944206094,Negative
b'RT @AnaheimSigns: Kings GM Rob Blake looking for offense in the NHL draft https://t.co/aYHiwB4WgZ #AnaheimSigns View Map Here: https://t.co\xe2\x80\xa6',-0.45153508771929907,Negative
b'RT @AnaheimSigns: Kings GM Rob Blake looking for offense in the NHL draft https://t.co/aYHiwB4WgZ #AnaheimSigns View Map Here: https://t.co\xe2\x80\xa6',-0.4946502057613178,Negative
b'Kings GM Rob Blake looking for offense in the NHL draft https://t.co/aYHiwB4WgZ #AnaheimSigns View Map Here: https://t.co/IQhfzSJNxM',-0.48578431372548975,Negative
b'RT @DennisTFP: Kings GM Rob Blake didn\'t rule out moving out (up or down) of 11th pick in tomorrow night but added "that scenario hasn\'t pr\xe2\x80\xa6',-0.45600804424333924,Negative
b'RT @mayorNHL: Rob Blake on X-Draft - "We were fairly consistent on who we were protecting (late in the season). It didn\'t change a whole bu\xe2\x80\xa6',-0.3614919354838715,Negative
b'RT @mayorNHL: "I don\'t think it\'s any secret we\'re looking for offense. Especially with the 11th pick." - Rob Blake on approaching this yea\xe2\x80\xa6',-0.3725806451612911,Negative
b'Draft day has been about the dullest one of the year for the Kings in recent seasons. At least the opening day of... https://t.co/qzmFvbNDY9',-0.51701030927835,Negative
b'Kings GM Rob Blake looking for offense in the NHL\xc2\xa0draft https://t.co/zlZJJcn3hM',-0.5327956989247307,Negative
b'Kings GM Rob Blake looking for offense in the NHL draft https://t.co/8PpvOgFG7j',-0.48440860215053727,Negative
