tweet, sentiment, polarity
b'Getting ready for alanjaxbowers &amp; #parrotbeach to hit the stage. @ Rutherford, New Jersey https://t.co/O0wLgTXm5W',-0.43808226897069846,Negative
b"RT @JMackeyPG: 'It was a pretty easy decision, if you ask me.' ... Chad Ruhwedel on re-upping with the Penguins for two years: https://t.co\xe2\x80\xa6",-0.39564043209876576,Negative
b'@Mr_Rutherford I dunno about that.',-0.4629870129870126,Negative
b"@Fi_Rutherford @MediaRootsNews why don't we have any Americans who speak this way to our media outlets? Seems Mainstream UK is more evolved",-0.4185185185185181,Negative
b'RT @Lakers: That Ball boy is now a member of the #LakeShow https://t.co/Bcjr0kmDF6',-0.37191721759126234,Negative
b'RT @ahmedtwinkie: I just wanna know how you accidentally buy a Range Rover https://t.co/uOfnbMLMZR',-0.3993610223642186,Negative
b'RT @bourhoodope: namore alguem que fique feliz com sua presen\xc3\xa7a como jesse rutherford fica ao lado de matty healy https://t.co/iNGvhWVINj',-0.3867377398720692,Negative
b"Wouldn't have wanted to end high school with anyone else \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\x93\xe2\x9d\xa4\xf0\x9f\x92\x99\xe2\x80\xa6 https://t.co/wtIMgjB0E4",-0.43384615384615344,Negative
b"@Noahpinion @trekonomics 'Clean' econ growth could still radically reduce biodiversity with catastropic consequence\xe2\x80\xa6 https://t.co/IYyx015HMx",-0.44779116465863417,Negative
b'RT @bourhoodope: namore alguem que fique feliz com sua presen\xc3\xa7a como jesse rutherford fica ao lado de matty healy https://t.co/iNGvhWVINj',-0.38537755102040916,Negative
b"Who do I call about targeted advertising cuz they ain't getting it https://t.co/LY94ZgarUJ",-0.35816326530612186,Negative
b"#JehovahsWitnesses Evolution Versus New World Brochure Jehovah's Witnesses Watchtower Rutherford\xe2\x80\xa6 https://t.co/VeHay0dDd4",-0.31299593876913423,Negative
b'#Rutherford County Commission Property Management Committee authorizes mayor to make up to $1.2M offer on 16K building for narcotics cops.',-0.3798780487804874,Negative
b'RT @MLStadium: https://t.co/8PnrESOjwe.\nTickets for @justinbieber 8/24 show at #MetLifeStadium !\nhttps://t.co/aqnxUG4Ppf https://t.co/19auJ\xe2\x80\xa6',-0.38555766992322915,Negative
b'@Dev_Rutherford Bruh I need it \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',-0.3960784313725487,Negative
b"@Vin_man19 @mjwags23 No one knows what Rutherford will be. He is only 20. We can't put him in the Bronx just yet.",-0.35348837209302286,Negative
b'@Mr_Rutherford I agree. I cant believe Auburn has won three and OM 2.',-0.4337662337662333,Negative
b"RT @JMackeyPG: 'It was a pretty easy decision, if you ask me.' ... Chad Ruhwedel on re-upping with the Penguins for two years: https://t.co\xe2\x80\xa6",-0.41126543209876576,Negative
b'@VitoMalacari23 @mjwags23 Not getting carried away. Rutherford is 2-3 years away and moving judge will allow him to\xe2\x80\xa6 https://t.co/cTsUr1VL1o',-0.4401234567901231,Negative
b'Congratualtions to Eric Rutherford, new interim artistic director of the William Inge Theatre Festival!',-0.36737559077008597,Negative
b"@Vin_man19 @mjwags23 Let's not get carried away. Rutherford is years away and Judge has been great right fielder.",-0.3207792207792204,Negative
b"Seeing Wonder Woman again because it's totally worth it",-0.4380434782608692,Negative
b'GEM RUTHERFORD',-0.47399999999999964,Negative
b"RT @JMackeyPG: 'It was a pretty easy decision, if you ask me.' ... Chad Ruhwedel on re-upping with the Penguins for two years: https://t.co\xe2\x80\xa6",-0.4242283950617288,Negative
b"@VitoMalacari23 @mjwags23 I'm really starting to lean to this kid playing center for us. Him Rutherford and Frazier\xe2\x80\xa6 https://t.co/fCfXt0l5T6",-0.42176470588235254,Negative
b'RT @MLStadium: https://t.co/8PnrESOjwe.\nTickets for @justinbieber 8/24 show at #MetLifeStadium !\nhttps://t.co/aqnxUG4Ppf https://t.co/19auJ\xe2\x80\xa6',-0.39311054001386364,Negative
b'#Caldwell drops game 1 of double header to #Rutherford 6-4. Game 2 to follow...#nclegion',-0.4607843137254898,Negative
b"RT @_NickBurch: Stop...giving...Lavar Ball...attention.\n\nThis isn't hard sports media. No one wants to hear from him. Probably not even Lon\xe2\x80\xa6",-0.40683479532163763,Negative
b'I would die \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Lavar would be on one! https://t.co/2JpFHgiZHU',-0.3928571428571423,Negative
b'RT @PittsburghPG: Jim Rutherford was brilliant in handling Marc-Andre Fleury, @PaulZeise writes https://t.co/vA2rW2mhqs',-0.4038208168642959,Negative
b'Game 1 final: Rutherford 6, Caldwell 4',-0.3624999999999996,Negative
b"RT @JMackeyPG: 'It was a pretty easy decision, if you ask me.' ... Chad Ruhwedel on re-upping with the Penguins for two years: https://t.co\xe2\x80\xa6",-0.43594632768361663,Negative
b'RT @USAWrestling: .@zaintrain_psu Nominated for 2017 ESPY Award! https://t.co/AfHRbdc3to https://t.co/cRjS1rcsKl',-0.40634236453202066,Negative
b"'It was a pretty easy decision, if you ask me.' ... Chad Ruhwedel on re-upping with the Penguins for two years: https://t.co/UDflkLMc99",-0.4271477663230237,Negative
b'#Rutherford County Commission Property Management Committee approves concept plan to relocate Rockvale Recycling Center across street.',-0.37321428571428533,Negative
b"Caldwell loads the bases with 1 out but can't score. Rutherford leads 6-4 heading to the 7th.",-0.3706249999999996,Negative
b'RT @LifeAsBros: That first step by Devin Hester \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 https://t.co/0VVvj9n3gu',-0.3360000000000004,Negative
b'Game 1, Top 7th: #Rutherford 6 #Caldwell 4. #nclegion',-0.4519999999999996,Negative
b"RT @PaulZeise: I had to read this three times in order to ensure it wasn't a joke or satire. I cannot think of a more horrendous idea than\xe2\x80\xa6",-0.3805019305019314,Negative
b'#Rutherford County Commission Property Management Committee approves giving $1K to family for ownership of Rockvale Convenience Center.',-0.37321428571428533,Negative
b'@EvgeniMaIkinEgo There needs to be a meme of Jim Rutherford relaxing with the Cup and a list of his trades with the title "u mad bro?"',-0.4386075949367085,Negative
b"@Chegg  #U2XYOU E. Rutherford!!  I give up. Don't think I will win and wonder if this is even real. https://t.co/CObMJaZ58e",-0.4493042671614098,Negative
b'\xf0\x9f\xa4\xa1\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa7\xf0\x9f\x8e\xaa\xf0\x9f\xa4\xb9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8d\xa6\xf0\x9f\x90\x98 (@ State Fair Meadowlands - @sfmeadowlands in East Rutherford, NJ) https://t.co/NkBRbUQyW6',-0.38418367346938737,Negative
b'@acosmos @the_jan_man @nickbreckon There\'s always "Rutherford B. Hot"',-0.46747572815533944,Negative
b'RT @NationPenguins: Sorry. Rutherford finished 6th and Sullivan finished 8th?? What kind of fuckery is this. Do we need to win 3 in a row f\xe2\x80\xa6',-0.3700980392156862,Negative
b"It's the start of #SFMeadowlands in East Rutherford, New Jersey's largest annual family friendly event: https://t.co/oZ87NW3oPs",-0.44003189792663444,Negative
b'@Nate_Rutherford Yeah you right \xf0\x9f\x99\x84',-0.3870705244122961,Negative
b'Execution By Firing Squad: When the Police State Opens Fire https://t.co/luyppFhJVK https://t.co/EXa8M1Tm1u',-0.4246031746031742,Negative
b'@PittsburghPG @PaulZeise Safe to say Rutherford is the Best GM of any of the local sports team.  Yes I know what Ke\xe2\x80\xa6 https://t.co/7jX05kIVDh',-0.27608695652173876,Negative
b'Rutherford scores 2 more to take a 6-4 lead after 5.5',-0.3493902439024386,Negative
b'https://t.co/f3l5EeVy5b',-0.3530120481927707,Negative
b'https://t.co/4atYV0sliT',-0.4044871794871791,Negative
b'RT @PittsburghPG: Jim Rutherford was brilliant in handling Marc-Andre Fleury, @PaulZeise writes https://t.co/vA2rW2mhqs',-0.41925064599483275,Negative
b'Jim Rutherford was brilliant in handling Marc-Andre Fleury, @PaulZeise writes https://t.co/vA2rW2mhqs',-0.42227138643067813,Negative
b'RT @KDPomp: GM Jim Rutherford finished 6th in voting',-0.34469696969696995,Negative
b'Rutherford County Field Support Technician https://t.co/mUTeJaAhob @GovernmentJobs',-0.45523809523809483,Negative
b'RT @crockpics: Johnny Cash playing guitar in a hotel room, 1958 https://t.co/ZTPhTjcp9u',-0.3710969624618658,Negative
b'Game 1, top 6th: #Rutherford 4 #Caldwell 4. #nclegion',-0.4519999999999996,Negative
b'RT @fsmikey: If you buy a Vegas Fleury jersey, I hope PensGM Jim Rutherford sees you in it, rips it off u, kicks u in the privates and yell\xe2\x80\xa6',-0.4261529126213596,Negative
b'https://t.co/zlaoDe9q8e',-0.4044871794871791,Negative
b"The Vols' top 2018 QB reaffirmed his commitment after USC showed increased interest in him:\nhttps://t.co/q0F3QTSbaY https://t.co/QsMhAKoqLF",-0.4089781746031742,Negative
b'Rutherford ties the game with 3 runs in the top of the 5th.',-0.3505952380952377,Negative
b'The Walmart on S Rutherford Blvd in Murfreesboro has one https://t.co/s1ou2jlgps',-0.4048387096774188,Negative
b'RT @WineReviewOnlin: https://t.co/5XexPklKC7 #Wine Review: \n@FreemarkAbbey Rutherford Cabernet Sauvignon Sycamore Vineyard 2013\n@RichCookOn\xe2\x80\xa6',-0.4568532818532826,Negative
b'@rutherford_kyle Lmao he was searching real quick!',-0.26184895833333305,Negative
b'Big day here at the Rutherford homestead. Finally got the junk drawer cleaned out! Although people are already tryi\xe2\x80\xa6 https://t.co/nfUYHvVxIL',-0.43431372549019576,Negative
