tweet, sentiment, polarity
b"RT @Dinezza73: @Avalanche What do you mean you haven't fired Sakic yet!?\n\n\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac DO IT NOW!",-0.4596664507772027,Negative
b'@EthanGSN @kne_14 its more about the belief that we can/should be able to get Duchene w/o giving up Barzal.3+MDC+29\xe2\x80\xa6 https://t.co/iNlqvIyhNB',-0.33225806451612866,Negative
b"I'd argue that being inactive means at least Sakic isn't doing something stupid, but every minute Dutchy remains an Av is Sakic being stupid",-0.3531531531531529,Negative
b'@CanadianDukeYT A snow sakic trade scares me beyond anything else lol',-0.35178571428571387,Negative
b'that said i would enjoy seeing garth snow bend sakic to his will. kneel. https://t.co/XGvM5YUbC9',-0.37084086799276633,Negative
b"@StrictlyRandy Sakic gonna hide the Duchene trade from us by doing it at 3am isn't he",-0.42911392405063253,Negative
b"@JKLUBER It seems clear Sakic isn't budging on his price for Duchene.  I think Galchenyuk will cost more because he\xe2\x80\xa6 https://t.co/QEBGGZGXzp",-0.3411157024793384,Negative
b"@ByScottPowers And if in the realm of possibility, whadya think it'd take the spur Sakic's interest? A 1st, Forslin\xe2\x80\xa6 https://t.co/Bh4U5cVIfy",-0.45336538461538434,Negative
b"@DanDanNoodles78 As do I, I mean he's not duchene (ideal imo) but he's a hell of a player. Also i think sakic is go\xe2\x80\xa6 https://t.co/47IHPJlLGq",-0.30741758241758205,Negative
b'@DanDanNoodles78 @AvsFanatic1997 @Amags7 Sakic is trying to replenish his farm system with Duchene #isles',-0.34301075268817166,Negative
b'@BDGallof Is Garth looking for a third party maybe? Someone who can offer Sakic what he wants? #isles',-0.38924731182795663,Negative
b"@Avalanche @cpickard1 Sakic is running this team into the ground under Kronke's orders.  They stand to make more mo\xe2\x80\xa6 https://t.co/HszUYgUn4q",-0.30638440860215016,Negative
b'@predspride That was February though. Maybe Sakic is more willing to deal.',-0.42037037037037,Negative
b'Sakic asking too much for Duchene &amp; Snow asking too much for Hamonic... hmmm fascinating #isles',-0.2919491525423725,Negative
b'RT @LooNTooNs: Garth Snow and Joe Sakic https://t.co/v8Jk3EHgrz',-0.3565533980582523,Negative
b"@AvsFanatic1997 @Amags7 Joe Sakic valuing Duchene like he is Joe Sakic. I'd offer De Haan, Nelson and Dal Colle OR\xe2\x80\xa6 https://t.co/k9AQB4vzs6",-0.4435435435435432,Negative
b'Garth Snow and Joe Sakic https://t.co/v8Jk3EHgrz',-0.43333333333333296,Negative
b'Roy to Sakic."Joe you\'re bat shit crazy I quit" #isles. Garth to Sakic."Joe you want what type of return for Duchene, you\'re bat shit crazy',-0.3324067599067598,Negative
b'@goranmiletic Ana Sakic sad je u Bejrutu',-0.4463302752293575,Negative
b'@chi_sakic \xe9\x9d\xa2\xe7\x9b\xae\xe7\x84\xa1\xe3\x81\x84\xe2\x80\xa6\n\xe6\x98\xaf\xe9\x9d\x9e\xe8\xa1\x8c\xe3\x81\x8d\xe3\x81\x9f\xe3\x81\x84\xef\xbc\x81',-0.4337662337662333,Negative
b'@Oakenshield1313 And people think Sakic is asking for too much... good lord.',-0.31621621621621593,Negative
b"@Avalanche What do you mean you haven't fired Sakic yet!?\n\n\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac DO IT NOW!",-0.46843354430379713,Negative
b'Dodao sam videozapis https://t.co/fV7YAIeSSU Sinan Sakic i Juzni Vetar - Pogledaj me (Audio 1984) na popis za reprodukciju na usluzi',-0.43333333333333296,Negative
b'Dodao sam videozapis https://t.co/nWogooWSxW Sinan Sakic i Juzni Vetar - Dodjoh da te vidim (Audio 1983) na popis za reprodukciju na',-0.43333333333333296,Negative
b'Dodao sam videozapis https://t.co/T0La3VCWVl Sinan Sakic i Juzni Vetar - Izdade me ti (Audio 1987) na popis za reprodukciju na usluzi',-0.43333333333333296,Negative
b'Dodao sam videozapis https://t.co/uhiAq3hGOW Sinan Sakic i Juzni Vetar - Jos uvek te cekam (Audio 1982) na popis za reprodukciju na',-0.43333333333333296,Negative
b'Dodao sam videozapis https://t.co/RI50gdqI6G Sinan Sakic i Juzni Vetar - Na igranci sinoc (Audio 1982) na popis za reprodukciju na',-0.43333333333333296,Negative
b"@northof55pride @dougy_24 Benning is worse, so is Sakic. Chayka hasn't really done anything bad, and made some decent small deals.",-0.3889513108614228,Negative
b'Right deal was in place for Duchene but Sakic is still holding out for the MOON. #isles #NotGarthsFault',-0.34514573070607524,Negative
b'@DanDanNoodles78 Sakic is being quite " DUCHY" how does he get anything done',-0.3715631929046559,Negative
b"@Amags7 Cost is just too f'ing high, Sakic is over playing his hand",-0.4281039755351679,Negative
b'@BR_SportsCast I agree but demand is high for Hamonic. His phone lines are blowing up with teams needing a RHD so t\xe2\x80\xa6 https://t.co/zf63pYrOFy',-0.34084770114942503,Negative
b'Sakic is really on the Hot Seat.... He is trying to save his career with Duchene. Will bite him in the ass #isles',-0.3104196729196727,Negative
b"RT @dougy_24: I can't remember a time with so many bad GM's at once. #Benning #Chevy #Chyka #Bergevin #Snow #Sakic #whateverOttawaGuy",-0.4456066945606703,Negative
b'@savetheisles Good for Snowy.  If Sakic can demand his high price then so can we.',-0.32231321839080435,Negative
b'@HaberMetrics5 Wonder if he takes a first and sends it to Sakic with CDH',-0.27376237623762345,Negative
b"I can't remember a time with so many bad GM's at once. #Benning #Chevy #Chyka #Bergevin #Snow #Sakic #whateverOttawaGuy",-0.43673469387755054,Negative
b'@TheGoatMWO @NHL @cmcdavid97 @EASPORTSNHL Fedorov, J\xc3\xa1gr, Lidstr\xc3\xb6m, Sakic, and Sel\xc3\xa4nne all never made the cover. Not everyone gets on.',-0.32115117891816886,Negative
b'Agreed, though someone did point out to me that Sakic\xe2\x80\x99s trades thus far have been decent. His signings, however... https://t.co/Y3bIcGGHOn',-0.40053205639797834,Negative
b"I love Bill Waters on @SiriusXMNHL and he's dead on with Joe Sakic. Shit or get off the pot already",-0.4467784642541921,Negative
b'Joe Sakic \xc3\xa9tait FINALISTE pour Jordan Eberle....alors...pour Galchenyuk... https://t.co/JkYDv6V2w8',-0.48440860215053727,Negative
b'Joe Sakic \xc3\xa9tait FINALISTE pour Jordan Eberle....alors...pour Galchenyuk... https://t.co/tz2ds8aIVo #sport',-0.41312499999999963,Negative
b'@lukeasteer @jayfretters That, and I have ZERO faith in Sakic being able to pull off a good trade right now.',-0.409285714285714,Negative
