tweet, sentiment, polarity
b'@_sunbaks I go with Sweeney Todd and it makes me angry instead',-0.42397003745318323,Negative
b'RT @DreMacsAMillion: Mother of a young black girl posing with someone who was seen on camera calling a black girl a "n*gger b*tch"... https\xe2\x80\xa6',-0.3809701051636547,Negative
b'Whiskeytown - Yesterdays News https://t.co/G8WcCcpzga #kpfc',-0.46549999999999964,Negative
b"@_TaleOldAsTime_ OHH! Yeah there's one one each side but it's dark in the picture.  My skeleton cats, Sweeney and L\xe2\x80\xa6 https://t.co/2c51jOhXnW",-0.430208333333333,Negative
b'top three fave characters on american gods ? \xe2\x80\x94 Not in order; Media, Mr. Wednesday, and Mad Sweeney  https://t.co/ZBlkejJMd8',-0.312173913043478,Negative
b'Robert Ellis - Drivin https://t.co/G8WcCcpzga #kpfc',-0.46549999999999964,Negative
b"@NHLBruins Sweeney you'd better come thru with this 1. Fans have lost their patience with your bullshit!!",-0.34253048780487766,Negative
b"@Croatown Pretty sure we'd all have a chance with Sweeney. Boy needs some good loving.",-0.38602941176470557,Negative
b"@Chaotic_Mariah I'd probably have a chance with Mad Sweeney though \xf0\x9f\x98\xb9",-0.4724747474747471,Negative
b'RT @porksmith: Hottest June day since those particular episodes of The Sweeney where all the grass is piss bleached',-0.435220125786164,Negative
b"@Ali_Sweeney @realcrimeprofil How's your return going?  Really excited to see Sami again",-0.4337349397590358,Negative
b'\xec\x9e\x98 \xeb\x93\xa4\xec\x96\xb4\xec\x9a\x94\n\xeb\xac\xb4\xeb\x8b\x88 \xeb\xb6\x80\xec\x9d\xb4 \xed\x8c\x8c\xec\x9d\xb4 \xec\x95\x8c\xec\xa3\xa0\n\xea\xb3\xa0\xec\x96\x91\xec\x9d\xb4 \xec\xa2\x80 \xeb\x84\xa3\xea\xb3\xa0 \xec\x9e\xa5\xec\x82\xac\n\xec\x99\x84\xec\xa0\x84 \xeb\x8c\x80\xeb\xb0\x95 \xeb\x82\xac\xeb\x8a\x94\xeb\x8d\xb0\n\xed\x95\x9c \xeb\xa7\x88\xeb\xa6\xac\xeb\x8b\xb9 \xea\xb3\xa0\xec\x9e\x91 \xed\x8c\x8c\xec\x9d\xb4\n\xec\x9d\xbc\xea\xb3\xb1 \xea\xb0\x9c\xec\xaf\xa4 \xeb\x82\x98\xec\x98\xa8\xeb\x8c\x80\n\xea\xb7\xb8\xeb\x9f\xbc \xec\x9a\xb0\xeb\xa6\xb0\n\xec\xb0\xa8\xec\x9b\x90\xec\x9d\xb4 \xeb\x8b\xa4\xeb\xa5\xb4\xea\xb2\xa0\xeb\x84\xa4',-0.4253333333333329,Negative
b'Tom Petty &amp; The Heartbreakers - This Old Town https://t.co/G8WcCcpzga #kpfc',-0.45441176470588196,Negative
b'@JuicyHotTakes If Sweeney can pull it off,awesome',-0.3910919540229882,Negative
b'Duran Duran - Hungry Like the Wolf https://t.co/G8WcCcpzga #kpfc',-0.46549999999999964,Negative
b'KPFC - CivilWars https://t.co/G8WcCc7YoC #kpfc',-0.46549999999999964,Negative
b'RT @trinitycollege: Statement from Trinity President Joanne Berger-Sweeney Regarding Social Media Posts by Faculty Member https://t.co/Xe85\xe2\x80\xa6',-0.4093538913362707,Negative
b'Estoy por sacar a mis gatos y que luchen ellos contra la ara\xc3\xb1a.',-0.4305263157894733,Negative
b'Just checking in with my friends at @realcrimeprofil ... miss you!',-0.3374999999999996,Negative
b'Sweeney Todd: The Demon Barber of Fleet Street is a good thriller movie.',-0.29807692307692296,Negative
b'Jimi Hendrix - Foxey Lady https://t.co/G8WcCcpzga #kpfc',-0.46549999999999964,Negative
b'@D_merrick91 with a second quick inning. Sweeney up 2 after 2',-0.3274891774891771,Negative
b'RT @axios: Drug overdoses have killed as many Americans this year as died fighting in Vietnam, Iraq and Afghanistan combined. https://t.co/\xe2\x80\xa6',-0.35396825396825443,Negative
b'RT @ananavarro: Liar-in-Chief. https://t.co/fswC20BoSy',-0.3835411051212949,Negative
b"Old 97's - Rollerskate Skinny https://t.co/G8WcCcpzga #kpfc",-0.45441176470588196,Negative
b'I want all of them\n\nAnd there needs to be a Mad Sweeney one!\n\n https://t.co/nQIqU6Es7W',-0.5110526315789469,Negative
b"RT @GriffSvo: Good workout today. Don't think I'm 66kg anymore \xf0\x9f\x98\x85 https://t.co/Vlcdj6Mtzg",-0.3598969995521727,Negative
b"Prickly Pineapple by Wyder's Cider found at Sweeney's Saloon. #BeerAlert",-0.4337662337662333,Negative
b'RT @144EastHildreth: Stanley is on the banned list',-0.3796568627450985,Negative
b'RT @LauriesOutTakes: @nbcdays @carlivatiron @sheriawriter Will Andre get $ back from Sami? Or revenge? Rich #DAYS history. @Ali_Sweeney @gr\xe2\x80\xa6',-0.39081439393939466,Negative
b'The Haven hosted a very special event last week- the marriage of Andrew Sweeney and Elizabeth Winner.\nThey met in... https://t.co/elR9NY1bwI',-0.2997471554993676,Negative
b'Daft Punk - Give Life Back to Music https://t.co/G8WcCcpzga #kpfc',-0.45637254901960744,Negative
b"If Sweeney does trade 18 he's definitely trading down for Oettinger",-0.48628841607564977,Negative
b"RT @VHStheatre: TWO MORE DAYS! Don't miss the opening night of Sweeney Todd at the VHS Theater this Friday! Curtain @8pm Tix: students:$7 a\xe2\x80\xa6",-0.364871323529412,Negative
b'RT @DavidKleinTM: Spent 2 nights with new friends at Gracie Barra Dublin \xf0\x9f\x87\xae\xf0\x9f\x87\xaa thanks for the excellent training! @bowechrisgb #JiuJitsu #Purp\xe2\x80\xa6',-0.3870794559770946,Negative
b'KPFC - PSA #1 https://t.co/G8WcCcpzga #kpfc',-0.46549999999999964,Negative
b'RT @InstrumentDaily: This never gets old https://t.co/Uz2f3XiqkV',-0.3655405405405408,Negative
b'A 37 hopper gets through the right side and Sweeney is on the board',-0.3263994626063587,Negative
b'ok, la peor frase que pod\xc3\xada oir ahora mismo: "La ara\xc3\xb1a se ha escapado"',-0.4113402061855666,Negative
b"RT @Beatricesg95: Love you so muchhh!! Can't wait to hug you again honey\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4 https://t.co/0sfUd08fSp",-0.33936116700201324,Negative
