tweet, sentiment, polarity
b'@alex_tallon No te rayes jajajajajaja',-0.43039215686274473,Negative
b'@JMontalvo98 Tened cuidaicooo ya sab\xc3\xa9is \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',-0.4045454545454541,Negative
b'Buenas noches (?)...',-0.4553333333333329,Negative
b'@TroWasTripped Tallon get simmonds just do it!',-0.3362068965517237,Negative
b'@manueruiz10 Uchiiiiii jajajajajaajajja',-0.4045454545454541,Negative
b'Anda er Papa @alex_tallon https://t.co/GofafsKQ6U',-0.42085834333733546,Negative
b'@elena_tallon Habr\xc3\xa1 que rellenarlo pues ^^',-0.4629870129870126,Negative
b'@v3ktorious @Steve_Dangle Wow if the panthers somehow pull that off tallon is a genius',-0.40061728395061685,Negative
b'Tallon says "He\'s a modern guy" and everyone shakes their head and agrees not knowing WTH it means.',-0.32474226804123674,Negative
b'https://t.co/yNmI0AYcJ0',-0.41314285714285665,Negative
b'Te quise, a pesar de saber que te iba a perder. Que cada d\xc3\xada te perd\xc3\xada un poquito m\xc3\xa1s y yo segu\xc3\xada en el intento de llenarte el alma \xf0\x9f\x8c\xbc',-0.4553333333333329,Negative
b'RT @Gerrarrdus: There is now a Daily Mail\nSunday Mail\nOnline Mail\nContinuity Mail\nProvisional Mail\nMail in Exile\nDemocratic Republic of Mai\xe2\x80\xa6',-0.4496473354231985,Negative
b'Me siento rara... vac\xc3\xada se podr\xc3\xada decir',-0.4553333333333329,Negative
b"@DesiHoces :'(",-0.47658227848101226,Negative
b'RT @William_F_Nicol: #FlaPanthers in tough spot here. Tallon needs to fix this. Team is running on fumes. No long term 1st RW/2nd LW/2nd RW\xe2\x80\xa6',-0.4424684491282859,Negative
b'No entiendo literalmente NADA',-0.4553333333333329,Negative
b'WOW, me hierve la sangre',-0.4409090909090905,Negative
b'Me hace bastante gracia el tema',-0.4553333333333329,Negative
b"Since Tallon seems to be having a senior's episode, can we grab Demers? I've wanted him forever but I thought they'd never let him go.",-0.4720430107526878,Negative
b'RT @CloudN9neSyrup: Gotta bring this video back on the TL https://t.co/XMyX7Y97TN',-0.3780149565599922,Negative
b"RT @abryGarcia97: ''Yo no me vendo.. \nmi dolor no tiene precio, tengo un nudo en el pecho y no pod\xc3\xa9is des-hacerlo..\nCuando quiero hablar na\xe2\x80\xa6",-0.43532338308457746,Negative
b'@Steve_Dangle Remember Dale Tallon is back running Florida again.Never a good idea to underestimate him. Team made\xe2\x80\xa6 https://t.co/ExHJGQPsZM',-0.389204545454545,Negative
b'@NHL @68Jagr What was Tallon watching this past Cup Final? There were no one goal games. https://t.co/oqPBcfHki9',-0.36385606874328635,Negative
b"Pretty obvious Tallon is trying to right the ship from last year's debacle of a season. We have a whole offseason, I'll wait before judging",-0.2951895043731775,Negative
b'RT @JamesonCoop: Tallon says prospects will get a chance to make this year\'s team: "We\'re not afraid to play young players."',-0.3997797356828198,Negative
b'RT @FlaPanthers: Tallon on the #NHLDraft: \xe2\x80\x9cI\xe2\x80\x99m excited about going to work tomorrow and getting the best players possible.\xe2\x80\x9d',-0.4014317180616743,Negative
b'RT @JamesonCoop: Tallon is confident that new coaching staff will put Nick Bjugstad in "the best possible situation to succeed."',-0.35682777138473376,Negative
b'RT @GeorgeRichards: Hall of Famer Chris Pronger leaves NHL, joins Dale Tallon and Florida Panthers front office.\nhttps://t.co/vBgU7vzh0x ht\xe2\x80\xa6',-0.43715295305401364,Negative
b'RT @GeorgeRichards: Dale Tallon statement: Chris Pronger is joining the front office as senior advisor. Thrilled and proud to add him to th\xe2\x80\xa6',-0.4021226415094343,Negative
b'RT @Cats0ntheprowl: Pronger: "I have a lot of respect for [Tallon]',-0.43750000000000044,Negative
b'#PredsPride https://t.co/LlCBY3Tv9d',-0.3824296141814385,Negative
b'@StephaneAbitbol @Pantherss88 Told Tallon ordered pepporni, well known selection by Tallon to celebrate. Big move i\xe2\x80\xa6 https://t.co/W7H3g4ZQL9',-0.4024096385542164,Negative
b"#Panthers Florida GM Dale Tallon plans to engage in contract negotiations with Jaromir Jagr's camp in the next few\xe2\x80\xa6 https://t.co/ZClqQVi4ab",-0.45637254901960744,Negative
b"RT @w_terrence: I got pulled over by the police! I'm alive because I listened! #blm #AllLivesMatter https://t.co/9UDx0I8F7R",-0.4107479784366586,Negative
b'RT @UnitedHospFund: #AHCA proposed cuts in federal #Medicaid spendng in fact represents cost shift to states: Jim Tallon @UnitedHospFund ht\xe2\x80\xa6',-0.3737154150197641,Negative
b'RT @UnitedHospFund: Senate #BRCA would challenge all NYS has accomplished with #Medicaid over last 50 years: Jim Tallon @UnitedHospFund htt\xe2\x80\xa6',-0.34775777913361855,Negative
b'Healed nostril piercing by @jose__tallon with @neometaljewelry Tri end with prong set Czs.... https://t.co/A9qI8Rhhzt',-0.4899999999999996,Negative
b'RT @Catalaire_: no cr\xc3\xadtico, admito la capacidad de convertir tu vida en una mentira continua, pero para que?',-0.4043715846994537,Negative
b'@TBTimes_JSmith Yzerman says dumber crap everyday. You trade Jo Drouin. Now he needs a top fwd. Is he related to Tallon?',-0.4047058823529408,Negative
b'RT @bobbycappucino: Tallon: we got rid of two good forwards because D wins championships\n\nalso Tallon: we don\xe2\x80\x99t want jason demers anymore\xe2\x80\xa6',-0.3885849909584098,Negative
b'@otto_maddux @FlaPnthrsPunk As a fellow day one fan, I am right there with you. Realistically, what would you like\xe2\x80\xa6 https://t.co/EuZVlDi08e',-0.37341269841269803,Negative
b'RT @NRLFootyShow: We invited Tallon, our \xe2\x80\x98Super-Stats Kid\xe2\x80\x99, to meet some of his @SSFCRABBITOHS heroes. \xe2\x9d\xa4   \n \n#9NRLFootyShow | https://t.co\xe2\x80\xa6',-0.42426160337552793,Negative
b'RT @NRLFootyShow: We invited Tallon, our \xe2\x80\x98Super-Stats Kid\xe2\x80\x99, to meet some of his @SSFCRABBITOHS heroes. \xe2\x9d\xa4   \n \n#9NRLFootyShow | https://t.co\xe2\x80\xa6',-0.4788288288288297,Negative
b"@v3ktorious Sad truth is that it could be. It's always been Tallon's plan to have the prospects playing.\nHopfully that isn't the case now.",-0.3956730769230766,Negative
b'RT @GeorgeRichards: Dale Tallon statement: Chris Pronger is joining the front office as senior advisor. Thrilled and proud to add him to th\xe2\x80\xa6',-0.3969907407407411,Negative
b'@d_styen swear',-0.4045454545454541,Negative
b'RT @d_styen: throwback to the OG besties https://t.co/MRXYRv8UhS',-0.43865814696485744,Negative
b'@Kent_Wilson Technically Brouwer is a Tallon guy.',-0.4227848101265818,Negative
b'RT @GeorgeRichards: Chris Pronger said Peter Luukko introduced him to the Florida Panthers, relationship built (through golf) with Dale Tal\xe2\x80\xa6',-0.414369158878505,Negative
b"Dale Tallon was a pretty good @nhl defenseman. Chris Pronger was a great @nhl defenseman. Too bad the @flapanthers can't suit up those two.",-0.44852941176470557,Negative
b"RT @XXXtenntacion: Don't chase people. Be you, do your own shit and work hard. The right people who belong in your life will come to you.",-0.3898553201184784,Negative
b'RT @twolinepass: dal\xc3\xa9 tallon',-0.4331140350877202,Negative
b'RT @NRLFootyShow: We invited Tallon, our \xe2\x80\x98Super-Stats Kid\xe2\x80\x99, to meet some of his @SSFCRABBITOHS heroes. \xe2\x9d\xa4   \n \n#9NRLFootyShow | https://t.co\xe2\x80\xa6',-0.4822220135236672,Negative
b'@tallon_john Haha!',-0.35842696629213444,Negative
