tweet, sentiment, polarity
b"RT @NHLFlames: #Flames GM Brad Treliving on lay of land after Golden Knights roster announced, possible trades before draft and Johnny's La\xe2\x80\xa6",-0.3926438053097348,Negative
b"@Steve_Dangle Hopefully Brian Burke's still got that fire and pushes Treliving to offer sheet the holy hell out of Draisaitl",-0.4461038961038958,Negative
b"RT @NHLFlames: #Flames GM Brad Treliving on lay of land after Golden Knights roster announced, possible trades before draft and Johnny's La\xe2\x80\xa6",-0.4436651583710416,Negative
b"RT @NHLFlames: #Flames GM Brad Treliving on lay of land after Golden Knights roster announced, possible trades before draft and Johnny's La\xe2\x80\xa6",-0.3601659751037347,Negative
b'#Flames GM Brad Treliving on lay of land after Golden Knights roster announced, possible trades before draft and Jo\xe2\x80\xa6 https://t.co/8CBN8reeVw',-0.4338383838383835,Negative
b"@HeraldHockey Treliving isn't wrong just needs to tread lightly... can't get caught chasing and overpaying..",-0.4148148148148144,Negative
b'RT @princealbertnow: Treliving makes donation to support softball championship https://t.co/90myDITHKg https://t.co/0Sd49UeDwZ',-0.38176851477134843,Negative
b'@THEFANBLOGGER @JM_Hockey @LeiperTheGinger If Brad Treliving reduces his asking price, maybe Hamonic is acquired by the #Flames #Isles',-0.4686813186813183,Negative
b'RT @Fan960Steinberg: Treliving says "I would suspect" the #Flames draft at #16 tomorrow. Admits climate is more favorable to trade down tha\xe2\x80\xa6',-0.3444991251093617,Negative
b'More #Flames GM Treliving: "The idea that this is a bad draft? We\xe2\x80\x99ve referred to it as a tighter draft. There\xe2\x80\x99s less gaps between players."',-0.3841365461847385,Negative
b'#Flames GM Brad Treliving: \xe2\x80\x9cThis year, this draft class probably hasn\xe2\x80\x99t gotten their due \xe2\x80\xa6 These are really good players this year.\xe2\x80\x9d',-0.3703703703703699,Negative
b'@Fan960Steinberg Pat..If Treliving was indeed close on anything would he discuss it with you or other media???',-0.4544303797468351,Negative
b'RT @Fan960Steinberg: Treliving says "I would suspect" the #Flames draft at #16 tomorrow. Admits climate is more favorable to trade down tha\xe2\x80\xa6',-0.3412808641975313,Negative
b'RT @Fan960Steinberg: Treliving says "I would suspect" the #Flames draft at #16 tomorrow. Admits climate is more favorable to trade down tha\xe2\x80\xa6',-0.3513888888888893,Negative
b'Treliving says "I would suspect" the #Flames draft at #16 tomorrow. Admits climate is more favorable to trade down than other years, though.',-0.32691960252935826,Negative
b'RT @Fan960Steinberg: Couple notes from Brad Treliving availability. Says team "isn\'t close" on any deals right now. #Flames',-0.3687524196670543,Negative
b'RT @Fan960Steinberg: Couple notes from Brad Treliving availability. Says team "isn\'t close" on any deals right now. #Flames',-0.37000537056928123,Negative
b'Couple notes from Brad Treliving availability. Says team "isn\'t close" on any deals right now. #Flames',-0.3367947178871544,Negative
b'RT @Fan960Nault: GM Brad Treliving on @Sportsnet960 right now ahead of the 2017 NHL Draft. #Flames',-0.4095751231527097,Negative
b'RT @Fan960Nault: GM Brad Treliving on @Sportsnet960 right now ahead of the 2017 NHL Draft. #Flames',-0.45980335454019744,Negative
b'GM Brad Treliving on @Sportsnet960 right now ahead of the 2017 NHL Draft. #Flames',-0.4958274398868454,Negative
b'@GaudreauEra Treliving gonna fleece him',-0.4045454545454541,Negative
b'Please Treliving get us Dumba https://t.co/UYrIC1cLpH',-0.42565789473684157,Negative
